PO ID;PO Date;Month;SKU;Purchase Multiple (units);Quantity Purchased (units);Unit Cost EUR;Total Cost EUR;Production Site;Destination DC;Goods Receipt Date
PO-202308-00032;01/08/2023 00:00;2023-08;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;20/08/2023 00:00
PO-202308-00033;01/08/2023 00:00;2023-08;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/08/2023 00:00
PO-202308-00034;01/08/2023 00:00;2023-08;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;15/08/2023 00:00
PO-202309-00035;01/09/2023 00:00;2023-09;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/09/2023 00:00
PO-202309-00036;01/09/2023 00:00;2023-09;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;20/09/2023 00:00
PO-202309-00037;01/09/2023 00:00;2023-09;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/09/2023 00:00
PO-202309-00038;01/09/2023 00:00;2023-09;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/09/2023 00:00
PO-202309-00039;01/09/2023 00:00;2023-09;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/09/2023 00:00
PO-202309-00040;01/09/2023 00:00;2023-09;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/09/2023 00:00
PO-202309-00041;01/09/2023 00:00;2023-09;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;22/09/2023 00:00
PO-202309-00042;01/09/2023 00:00;2023-09;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;20/09/2023 00:00
PO-202309-00043;01/09/2023 00:00;2023-09;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;23/09/2023 00:00
PO-202309-00044;01/09/2023 00:00;2023-09;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/09/2023 00:00
PO-202309-00045;01/09/2023 00:00;2023-09;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;13/09/2023 00:00
PO-202309-00046;01/09/2023 00:00;2023-09;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/09/2023 00:00
PO-202309-00047;01/09/2023 00:00;2023-09;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/09/2023 00:00
PO-202309-00048;01/09/2023 00:00;2023-09;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;19/09/2023 00:00
PO-202309-00049;01/09/2023 00:00;2023-09;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/09/2023 00:00
PO-202309-00050;01/09/2023 00:00;2023-09;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/09/2023 00:00
PO-202309-00051;01/09/2023 00:00;2023-09;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/09/2023 00:00
PO-202310-00052;01/10/2023 00:00;2023-10;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/10/2023 00:00
PO-202310-00053;01/10/2023 00:00;2023-10;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/10/2023 00:00
PO-202310-00054;01/10/2023 00:00;2023-10;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/10/2023 00:00
PO-202310-00055;01/10/2023 00:00;2023-10;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/10/2023 00:00
PO-202310-00056;01/10/2023 00:00;2023-10;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/10/2023 00:00
PO-202310-00057;01/10/2023 00:00;2023-10;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/10/2023 00:00
PO-202310-00058;01/10/2023 00:00;2023-10;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/10/2023 00:00
PO-202310-00059;01/10/2023 00:00;2023-10;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;20/10/2023 00:00
PO-202310-00060;01/10/2023 00:00;2023-10;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/10/2023 00:00
PO-202310-00061;01/10/2023 00:00;2023-10;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/10/2023 00:00
PO-202310-00062;01/10/2023 00:00;2023-10;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/10/2023 00:00
PO-202310-00063;01/10/2023 00:00;2023-10;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/10/2023 00:00
PO-202310-00064;01/10/2023 00:00;2023-10;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/10/2023 00:00
PO-202310-00065;01/10/2023 00:00;2023-10;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;19/10/2023 00:00
PO-202310-00066;01/10/2023 00:00;2023-10;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/10/2023 00:00
PO-202310-00067;01/10/2023 00:00;2023-10;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/10/2023 00:00
PO-202310-00068;01/10/2023 00:00;2023-10;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;15/10/2023 00:00
PO-202311-00069;01/11/2023 00:00;2023-11;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;16/11/2023 00:00
PO-202311-00070;01/11/2023 00:00;2023-11;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/11/2023 00:00
PO-202311-00071;01/11/2023 00:00;2023-11;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/11/2023 00:00
PO-202311-00072;01/11/2023 00:00;2023-11;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/11/2023 00:00
PO-202311-00073;01/11/2023 00:00;2023-11;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/11/2023 00:00
PO-202311-00074;01/11/2023 00:00;2023-11;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;17/11/2023 00:00
PO-202311-00075;01/11/2023 00:00;2023-11;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;22/11/2023 00:00
PO-202311-00076;01/11/2023 00:00;2023-11;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;20/11/2023 00:00
PO-202311-00077;01/11/2023 00:00;2023-11;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/11/2023 00:00
PO-202311-00078;01/11/2023 00:00;2023-11;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;15/11/2023 00:00
PO-202311-00079;01/11/2023 00:00;2023-11;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/11/2023 00:00
PO-202311-00080;01/11/2023 00:00;2023-11;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/11/2023 00:00
PO-202311-00081;01/11/2023 00:00;2023-11;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;21/11/2023 00:00
PO-202311-00082;01/11/2023 00:00;2023-11;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/11/2023 00:00
PO-202311-00083;01/11/2023 00:00;2023-11;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/11/2023 00:00
PO-202311-00084;01/11/2023 00:00;2023-11;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/11/2023 00:00
PO-202311-00085;01/11/2023 00:00;2023-11;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;14/11/2023 00:00
PO-202312-00086;01/12/2023 00:00;2023-12;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;16/12/2023 00:00
PO-202312-00087;01/12/2023 00:00;2023-12;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;20/12/2023 00:00
PO-202312-00088;01/12/2023 00:00;2023-12;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/12/2023 00:00
PO-202312-00089;01/12/2023 00:00;2023-12;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/12/2023 00:00
PO-202312-00090;01/12/2023 00:00;2023-12;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/12/2023 00:00
PO-202312-00091;01/12/2023 00:00;2023-12;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;18/12/2023 00:00
PO-202312-00092;01/12/2023 00:00;2023-12;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;22/12/2023 00:00
PO-202312-00093;01/12/2023 00:00;2023-12;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/12/2023 00:00
PO-202312-00094;01/12/2023 00:00;2023-12;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;24/12/2023 00:00
PO-202312-00095;01/12/2023 00:00;2023-12;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;15/12/2023 00:00
PO-202312-00096;01/12/2023 00:00;2023-12;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/12/2023 00:00
PO-202312-00097;01/12/2023 00:00;2023-12;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/12/2023 00:00
PO-202312-00098;01/12/2023 00:00;2023-12;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/12/2023 00:00
PO-202312-00099;01/12/2023 00:00;2023-12;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;19/12/2023 00:00
PO-202312-00100;01/12/2023 00:00;2023-12;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;20/12/2023 00:00
PO-202312-00101;01/12/2023 00:00;2023-12;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/12/2023 00:00
PO-202312-00102;01/12/2023 00:00;2023-12;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;14/12/2023 00:00
PO-202401-00103;01/01/2024 00:00;2024-01;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;16/01/2024 00:00
PO-202401-00104;01/01/2024 00:00;2024-01;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/01/2024 00:00
PO-202401-00105;01/01/2024 00:00;2024-01;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/01/2024 00:00
PO-202401-00106;01/01/2024 00:00;2024-01;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/01/2024 00:00
PO-202401-00107;01/01/2024 00:00;2024-01;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/01/2024 00:00
PO-202401-00108;01/01/2024 00:00;2024-01;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;18/01/2024 00:00
PO-202401-00109;01/01/2024 00:00;2024-01;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/01/2024 00:00
PO-202401-00110;01/01/2024 00:00;2024-01;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/01/2024 00:00
PO-202401-00111;01/01/2024 00:00;2024-01;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/01/2024 00:00
PO-202401-00112;01/01/2024 00:00;2024-01;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/01/2024 00:00
PO-202401-00113;01/01/2024 00:00;2024-01;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/01/2024 00:00
PO-202401-00114;01/01/2024 00:00;2024-01;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/01/2024 00:00
PO-202401-00115;01/01/2024 00:00;2024-01;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/01/2024 00:00
PO-202401-00116;01/01/2024 00:00;2024-01;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;19/01/2024 00:00
PO-202401-00117;01/01/2024 00:00;2024-01;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/01/2024 00:00
PO-202401-00118;01/01/2024 00:00;2024-01;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;16/01/2024 00:00
PO-202401-00119;01/01/2024 00:00;2024-01;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/01/2024 00:00
PO-202402-00120;01/02/2024 00:00;2024-02;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/02/2024 00:00
PO-202402-00121;01/02/2024 00:00;2024-02;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/02/2024 00:00
PO-202402-00122;01/02/2024 00:00;2024-02;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;19/02/2024 00:00
PO-202402-00123;01/02/2024 00:00;2024-02;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/02/2024 00:00
PO-202402-00124;01/02/2024 00:00;2024-02;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/02/2024 00:00
PO-202402-00125;01/02/2024 00:00;2024-02;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/02/2024 00:00
PO-202402-00126;01/02/2024 00:00;2024-02;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/02/2024 00:00
PO-202402-00127;01/02/2024 00:00;2024-02;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;21/02/2024 00:00
PO-202402-00128;01/02/2024 00:00;2024-02;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;23/02/2024 00:00
PO-202402-00129;01/02/2024 00:00;2024-02;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;15/02/2024 00:00
PO-202402-00130;01/02/2024 00:00;2024-02;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;12/02/2024 00:00
PO-202402-00131;01/02/2024 00:00;2024-02;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;16/02/2024 00:00
PO-202402-00132;01/02/2024 00:00;2024-02;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/02/2024 00:00
PO-202402-00133;01/02/2024 00:00;2024-02;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/02/2024 00:00
PO-202402-00134;01/02/2024 00:00;2024-02;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/02/2024 00:00
PO-202402-00135;01/02/2024 00:00;2024-02;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/02/2024 00:00
PO-202402-00136;01/02/2024 00:00;2024-02;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;15/02/2024 00:00
PO-202403-00137;01/03/2024 00:00;2024-03;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/03/2024 00:00
PO-202403-00138;01/03/2024 00:00;2024-03;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/03/2024 00:00
PO-202403-00139;01/03/2024 00:00;2024-03;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/03/2024 00:00
PO-202403-00140;01/03/2024 00:00;2024-03;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;18/03/2024 00:00
PO-202403-00141;01/03/2024 00:00;2024-03;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;21/03/2024 00:00
PO-202403-00142;01/03/2024 00:00;2024-03;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;18/03/2024 00:00
PO-202403-00143;01/03/2024 00:00;2024-03;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;22/03/2024 00:00
PO-202403-00144;01/03/2024 00:00;2024-03;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;20/03/2024 00:00
PO-202403-00145;01/03/2024 00:00;2024-03;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;24/03/2024 00:00
PO-202403-00146;01/03/2024 00:00;2024-03;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/03/2024 00:00
PO-202403-00147;01/03/2024 00:00;2024-03;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/03/2024 00:00
PO-202403-00148;01/03/2024 00:00;2024-03;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/03/2024 00:00
PO-202403-00149;01/03/2024 00:00;2024-03;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/03/2024 00:00
PO-202403-00150;01/03/2024 00:00;2024-03;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;19/03/2024 00:00
PO-202403-00151;01/03/2024 00:00;2024-03;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;21/03/2024 00:00
PO-202403-00152;01/03/2024 00:00;2024-03;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/03/2024 00:00
PO-202403-00153;01/03/2024 00:00;2024-03;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/03/2024 00:00
PO-202404-00154;01/04/2024 00:00;2024-04;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/04/2024 00:00
PO-202404-00155;01/04/2024 00:00;2024-04;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;20/04/2024 00:00
PO-202404-00156;01/04/2024 00:00;2024-04;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/04/2024 00:00
PO-202404-00157;01/04/2024 00:00;2024-04;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/04/2024 00:00
PO-202404-00158;01/04/2024 00:00;2024-04;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/04/2024 00:00
PO-202404-00159;01/04/2024 00:00;2024-04;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;17/04/2024 00:00
PO-202404-00160;01/04/2024 00:00;2024-04;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;23/04/2024 00:00
PO-202404-00161;01/04/2024 00:00;2024-04;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/04/2024 00:00
PO-202404-00162;01/04/2024 00:00;2024-04;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;24/04/2024 00:00
PO-202404-00163;01/04/2024 00:00;2024-04;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/04/2024 00:00
PO-202404-00164;01/04/2024 00:00;2024-04;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;13/04/2024 00:00
PO-202404-00165;01/04/2024 00:00;2024-04;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/04/2024 00:00
PO-202404-00166;01/04/2024 00:00;2024-04;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/04/2024 00:00
PO-202404-00167;01/04/2024 00:00;2024-04;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/04/2024 00:00
PO-202404-00168;01/04/2024 00:00;2024-04;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/04/2024 00:00
PO-202404-00169;01/04/2024 00:00;2024-04;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/04/2024 00:00
PO-202404-00170;01/04/2024 00:00;2024-04;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/04/2024 00:00
PO-202405-00171;01/05/2024 00:00;2024-05;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;16/05/2024 00:00
PO-202405-00172;01/05/2024 00:00;2024-05;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/05/2024 00:00
PO-202405-00173;01/05/2024 00:00;2024-05;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/05/2024 00:00
PO-202405-00174;01/05/2024 00:00;2024-05;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/05/2024 00:00
PO-202405-00175;01/05/2024 00:00;2024-05;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;21/05/2024 00:00
PO-202405-00176;01/05/2024 00:00;2024-05;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;18/05/2024 00:00
PO-202405-00177;01/05/2024 00:00;2024-05;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;22/05/2024 00:00
PO-202405-00178;01/05/2024 00:00;2024-05;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;20/05/2024 00:00
PO-202405-00179;01/05/2024 00:00;2024-05;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/05/2024 00:00
PO-202405-00180;01/05/2024 00:00;2024-05;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/05/2024 00:00
PO-202405-00181;01/05/2024 00:00;2024-05;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/05/2024 00:00
PO-202405-00182;01/05/2024 00:00;2024-05;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/05/2024 00:00
PO-202405-00183;01/05/2024 00:00;2024-05;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/05/2024 00:00
PO-202405-00184;01/05/2024 00:00;2024-05;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/05/2024 00:00
PO-202405-00185;01/05/2024 00:00;2024-05;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;19/05/2024 00:00
PO-202405-00186;01/05/2024 00:00;2024-05;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/05/2024 00:00
PO-202405-00187;01/05/2024 00:00;2024-05;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/05/2024 00:00
PO-202406-00188;01/06/2024 00:00;2024-06;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/06/2024 00:00
PO-202406-00189;01/06/2024 00:00;2024-06;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/06/2024 00:00
PO-202406-00190;01/06/2024 00:00;2024-06;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;20/06/2024 00:00
PO-202406-00191;01/06/2024 00:00;2024-06;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/06/2024 00:00
PO-202406-00192;01/06/2024 00:00;2024-06;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/06/2024 00:00
PO-202406-00193;01/06/2024 00:00;2024-06;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/06/2024 00:00
PO-202406-00194;01/06/2024 00:00;2024-06;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/06/2024 00:00
PO-202406-00195;01/06/2024 00:00;2024-06;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;20/06/2024 00:00
PO-202406-00196;01/06/2024 00:00;2024-06;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;24/06/2024 00:00
PO-202406-00197;01/06/2024 00:00;2024-06;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/06/2024 00:00
PO-202406-00198;01/06/2024 00:00;2024-06;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/06/2024 00:00
PO-202406-00199;01/06/2024 00:00;2024-06;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;16/06/2024 00:00
PO-202406-00200;01/06/2024 00:00;2024-06;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/06/2024 00:00
PO-202406-00201;01/06/2024 00:00;2024-06;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/06/2024 00:00
PO-202406-00202;01/06/2024 00:00;2024-06;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;20/06/2024 00:00
PO-202406-00203;01/06/2024 00:00;2024-06;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;14/06/2024 00:00
