Customer ID;Customer Name;Channel;Customer Tier;Start Month
C000136;ZenBasket CY Online #0136;E-commerce;M;01/12/2023 00:00
C000137;PrimeFuel CY Online #0137;E-commerce;S;01/10/2023 00:00
C000138;NutriPharm CY #0138;Pharmacy;S;01/12/2023 00:00
C000139;CarePharm CY #0139;Pharmacy;L;01/10/2023 00:00
C000140;MediKore CY #0140;Pharmacy;S;01/10/2023 00:00
C000141;EuroPharmx CY #0141;Pharmacy;M;01/11/2023 00:00
C000142;PharmaPluz CY #0142;Pharmacy;S;01/11/2023 00:00
C000143;EuroPharmx CY #0143;Pharmacy;S;01/11/2023 00:00
C000144;PharmaPluz CY #0144;Pharmacy;M;01/09/2023 00:00
C000145;CarePharm CY #0145;Pharmacy;S;01/07/2023 00:00
C000146;Edekae CY #0146;Retail;L;01/07/2023 00:00
C000147;Lidll CY #0147;Retail;S;01/12/2023 00:00
C000148;Tesko CY #0148;Retail;S;01/10/2023 00:00
C000149;Edekae CY #0149;Retail;M;01/09/2023 00:00
C000150;Carrefouk CY #0150;Retail;L;01/09/2023 00:00
C000151;SportDirekt CY #0151;Retail Sport;L;01/08/2023 00:00
C000152;AthletiX CY #0152;Retail Sport;S;01/11/2023 00:00
C000153;Decathlonn CY #0153;Retail Sport;L;01/11/2023 00:00
C000154;Decathlonn CY #0154;Retail Sport;M;01/09/2023 00:00
C000155;GymMart CZ Online #0155;E-commerce;S;01/10/2023 00:00
C000156;WellKart CZ Online #0156;E-commerce;L;01/09/2023 00:00
C000157;ZenBasket CZ Online #0157;E-commerce;S;01/12/2023 00:00
C000158;VitaBox CZ Online #0158;E-commerce;M;01/08/2023 00:00
C000159;ZenBasket CZ Online #0159;E-commerce;M;01/08/2023 00:00
C000160;VitaCare CZ #0160;Pharmacy;M;01/10/2023 00:00
C000161;VitaCare CZ #0161;Pharmacy;M;01/11/2023 00:00
C000162;HealthPoint CZ #0162;Pharmacy;M;01/08/2023 00:00
C000163;VitaCare CZ #0163;Pharmacy;M;01/08/2023 00:00
C000164;MediKore CZ #0164;Pharmacy;M;01/09/2023 00:00
C000165;EuroPharmx CZ #0165;Pharmacy;S;01/07/2023 00:00
C000166;Tesko CZ #0166;Retail;L;01/09/2023 00:00
C000167;Aldii CZ #0167;Retail;M;01/07/2023 00:00
C000168;Edekae CZ #0168;Retail;M;01/10/2023 00:00
C000169;Auchon CZ #0169;Retail;S;01/08/2023 00:00
C000170;Sparr CZ #0170;Retail;L;01/10/2023 00:00
C000171;Rewee CZ #0171;Retail;L;01/10/2023 00:00
C000172;Intermarche CZ #0172;Retail;M;01/12/2023 00:00
C000173;Edekae CZ #0173;Retail;L;01/09/2023 00:00
C000174;Tesko CZ #0174;Retail;L;01/07/2023 00:00
C000175;Auchon CZ #0175;Retail;L;01/11/2023 00:00
C000176;Carrefouk CZ #0176;Retail;S;01/12/2023 00:00
C000177;Auchon CZ #0177;Retail;M;01/11/2023 00:00
C000178;SportDirekt CZ #0178;Retail Sport;M;01/09/2023 00:00
C000179;AthletiX CZ #0179;Retail Sport;M;01/11/2023 00:00
C000180;Decatlon CZ #0180;Retail Sport;M;01/12/2023 00:00
C000181;Decathlonn CZ #0181;Retail Sport;L;01/10/2023 00:00
C000182;FitZone CZ #0182;Retail Sport;L;01/08/2023 00:00
C000183;FitNest DK Online #0183;E-commerce;S;01/09/2023 00:00
C000184;WellKart DK Online #0184;E-commerce;M;01/08/2023 00:00
C000185;FitNest DK Online #0185;E-commerce;M;01/12/2023 00:00
C000186;NutriHub DK Online #0186;E-commerce;M;01/10/2023 00:00
C000187;PharmaPluz DK #0187;Pharmacy;S;01/12/2023 00:00
C000188;CarePharm DK #0188;Pharmacy;S;01/12/2023 00:00
C000189;NutriPharm DK #0189;Pharmacy;S;01/09/2023 00:00
C000190;PharmaPluz DK #0190;Pharmacy;M;01/12/2023 00:00
C000191;Lidll DK #0191;Retail;L;01/08/2023 00:00
C000192;Edekae DK #0192;Retail;M;01/09/2023 00:00
C000193;Aldii DK #0193;Retail;M;01/12/2023 00:00
C000194;Carrefouk DK #0194;Retail;S;01/10/2023 00:00
C000195;Rewee DK #0195;Retail;L;01/12/2023 00:00
C000196;Carrefouk DK #0196;Retail;L;01/08/2023 00:00
C000197;Lidll DK #0197;Retail;L;01/09/2023 00:00
C000198;Intermarche DK #0198;Retail;L;01/11/2023 00:00
C000199;Rewee DK #0199;Retail;L;01/11/2023 00:00
C000200;Aldii DK #0200;Retail;L;01/10/2023 00:00
C000201;Lidll DK #0201;Retail;M;01/07/2023 00:00
C000202;Sparr DK #0202;Retail;M;01/12/2023 00:00
C000203;Sparr DK #0203;Retail;M;01/08/2023 00:00
C000204;Edekae DK #0204;Retail;L;01/10/2023 00:00
C000205;Decathlonn DK #0205;Retail Sport;L;01/12/2023 00:00
C000206;Decatlon DK #0206;Retail Sport;L;01/10/2023 00:00
C000207;ProSport DK #0207;Retail Sport;L;01/11/2023 00:00
C000208;AthletiX DK #0208;Retail Sport;L;01/11/2023 00:00
C000209;Intersportt DK #0209;Retail Sport;M;01/09/2023 00:00
C000210;FitZone DK #0210;Retail Sport;L;01/09/2023 00:00
C000211;WellKart EE Online #0211;E-commerce;M;01/07/2023 00:00
C000212;NutriHub EE Online #0212;E-commerce;S;01/08/2023 00:00
C000213;WellKart EE Online #0213;E-commerce;M;01/10/2023 00:00
C000214;NutriHub EE Online #0214;E-commerce;S;01/09/2023 00:00
C000215;CarePharm EE #0215;Pharmacy;M;01/09/2023 00:00
C000216;HealthPoint EE #0216;Pharmacy;M;01/12/2023 00:00
C000217;EuroPharmx EE #0217;Pharmacy;M;01/07/2023 00:00
C000218;HealthPoint EE #0218;Pharmacy;S;01/11/2023 00:00
C000219;Tesko EE #0219;Retail;M;01/07/2023 00:00
C000220;Edekae EE #0220;Retail;L;01/09/2023 00:00
C000221;Rewee EE #0221;Retail;L;01/10/2023 00:00
C000222;Auchon EE #0222;Retail;L;01/10/2023 00:00
C000223;Carrefouk EE #0223;Retail;M;01/08/2023 00:00
C000224;Tesko EE #0224;Retail;M;01/10/2023 00:00
C000225;Carrefouk EE #0225;Retail;S;01/08/2023 00:00
C000226;Rewee EE #0226;Retail;M;01/09/2023 00:00
C000227;Aldii EE #0227;Retail;M;01/10/2023 00:00
C000228;Aldii EE #0228;Retail;M;01/11/2023 00:00
C000229;Rewee EE #0229;Retail;L;01/12/2023 00:00
C000230;Edekae EE #0230;Retail;L;01/10/2023 00:00
C000231;Tesko EE #0231;Retail;M;01/08/2023 00:00
C000232;Edekae EE #0232;Retail;L;01/11/2023 00:00
C000233;ProSport EE #0233;Retail Sport;L;01/09/2023 00:00
C000234;Intersportt EE #0234;Retail Sport;L;01/12/2023 00:00
C000235;ProSport EE #0235;Retail Sport;M;01/12/2023 00:00
C000236;Decathlonn EE #0236;Retail Sport;M;01/11/2023 00:00
C000237;ProSport EE #0237;Retail Sport;M;01/11/2023 00:00
C000238;SportDirekt EE #0238;Retail Sport;L;01/09/2023 00:00
C000239;ZenBasket FI Online #0239;E-commerce;S;01/11/2023 00:00
C000240;WellKart FI Online #0240;E-commerce;S;01/09/2023 00:00
C000241;PulseMarket FI Online #0241;E-commerce;M;01/11/2023 00:00
C000242;VitaBox FI Online #0242;E-commerce;M;01/11/2023 00:00
C000243;MediKore FI #0243;Pharmacy;L;01/08/2023 00:00
C000244;MediKore FI #0244;Pharmacy;S;01/11/2023 00:00
C000245;PharmaPluz FI #0245;Pharmacy;M;01/11/2023 00:00
C000246;PharmaPluz FI #0246;Pharmacy;S;01/11/2023 00:00
C000247;Sparr FI #0247;Retail;L;01/07/2023 00:00
C000248;Rewee FI #0248;Retail;M;01/07/2023 00:00
C000249;Rewee FI #0249;Retail;L;01/10/2023 00:00
C000250;Rewee FI #0250;Retail;S;01/11/2023 00:00
C000251;Tesko FI #0251;Retail;S;01/10/2023 00:00
C000252;Tesko FI #0252;Retail;S;01/12/2023 00:00
C000253;Aldii FI #0253;Retail;M;01/07/2023 00:00
C000254;Rewee FI #0254;Retail;S;01/10/2023 00:00
C000255;Sparr FI #0255;Retail;M;01/10/2023 00:00
C000256;Auchon FI #0256;Retail;M;01/08/2023 00:00
C000257;Edekae FI #0257;Retail;M;01/10/2023 00:00
C000258;Aldii FI #0258;Retail;M;01/09/2023 00:00
C000259;Sparr FI #0259;Retail;M;01/10/2023 00:00
C000260;Rewee FI #0260;Retail;M;01/09/2023 00:00
C000261;Decatlon FI #0261;Retail Sport;M;01/08/2023 00:00
C000262;FitZone FI #0262;Retail Sport;M;01/11/2023 00:00
C000263;Decatlon FI #0263;Retail Sport;M;01/09/2023 00:00
C000264;Decathlonn FI #0264;Retail Sport;L;01/12/2023 00:00
C000265;Intersportt FI #0265;Retail Sport;L;01/07/2023 00:00
C000266;Decatlon FI #0266;Retail Sport;L;01/08/2023 00:00
C000267;PulseMarket FR Online #0267;E-commerce;S;01/08/2023 00:00
C000268;FitNest FR Online #0268;E-commerce;S;01/12/2023 00:00
C000269;VitaBox FR Online #0269;E-commerce;S;01/09/2023 00:00
C000270;PrimeFuel FR Online #0270;E-commerce;S;01/08/2023 00:00
C000271;GymMart FR Online #0271;E-commerce;S;01/07/2023 00:00
C000272;GymMart FR Online #0272;E-commerce;S;01/12/2023 00:00
C000273;NutriHub FR Online #0273;E-commerce;S;01/11/2023 00:00
C000274;VitaBox FR Online #0274;E-commerce;M;01/12/2023 00:00
C000275;WellKart FR Online #0275;E-commerce;S;01/12/2023 00:00
C000276;ZenBasket FR Online #0276;E-commerce;M;01/07/2023 00:00
C000277;ZenBasket FR Online #0277;E-commerce;S;01/12/2023 00:00
C000278;MediKore FR #0278;Pharmacy;S;01/11/2023 00:00
C000279;CarePharm FR #0279;Pharmacy;M;01/08/2023 00:00
C000280;CarePharm FR #0280;Pharmacy;M;01/08/2023 00:00
C000281;EuroPharmx FR #0281;Pharmacy;L;01/12/2023 00:00
C000282;CarePharm FR #0282;Pharmacy;L;01/12/2023 00:00
C000283;VitaCare FR #0283;Pharmacy;M;01/11/2023 00:00
C000284;VitaCare FR #0284;Pharmacy;M;01/11/2023 00:00
C000285;CarePharm FR #0285;Pharmacy;M;01/11/2023 00:00
C000286;EuroPharmx FR #0286;Pharmacy;M;01/08/2023 00:00
C000287;VitaCare FR #0287;Pharmacy;S;01/12/2023 00:00
C000288;Intermarche FR #0288;Retail;M;01/08/2023 00:00
C000289;Intermarche FR #0289;Retail;L;01/11/2023 00:00
C000290;Intermarche FR #0290;Retail;M;01/08/2023 00:00
C000291;Lidll FR #0291;Retail;L;01/08/2023 00:00
C000292;Tesko FR #0292;Retail;L;01/08/2023 00:00
C000293;Lidll FR #0293;Retail;L;01/08/2023 00:00
C000294;Tesko FR #0294;Retail;L;01/09/2023 00:00
C000295;Sparr FR #0295;Retail;M;01/07/2023 00:00
C000296;Sparr FR #0296;Retail;L;01/10/2023 00:00
C000297;Rewee FR #0297;Retail;S;01/12/2023 00:00
C000298;Aldii FR #0298;Retail;M;01/08/2023 00:00
C000299;Sparr FR #0299;Retail;S;01/12/2023 00:00
C000300;Carrefouk FR #0300;Retail;M;01/07/2023 00:00
C000301;Lidll FR #0301;Retail;M;01/11/2023 00:00
C000302;Intermarche FR #0302;Retail;L;01/09/2023 00:00
C000303;Tesko FR #0303;Retail;L;01/12/2023 00:00
C000304;Rewee FR #0304;Retail;L;01/12/2023 00:00
C000305;Intermarche FR #0305;Retail;S;01/11/2023 00:00
C000306;Lidll FR #0306;Retail;M;01/07/2023 00:00
C000307;Edekae FR #0307;Retail;L;01/07/2023 00:00
C000308;Decatlon FR #0308;Retail Sport;L;01/07/2023 00:00
C000309;Intersportt FR #0309;Retail Sport;L;01/11/2023 00:00
C000310;ProSport FR #0310;Retail Sport;L;01/11/2023 00:00
C000311;ProSport FR #0311;Retail Sport;L;01/10/2023 00:00
C000312;Decathlonn FR #0312;Retail Sport;M;01/08/2023 00:00
C000313;Decathlonn FR #0313;Retail Sport;S;01/07/2023 00:00
C000314;Decathlonn FR #0314;Retail Sport;M;01/08/2023 00:00
C000315;Intersportt FR #0315;Retail Sport;S;01/08/2023 00:00
C000316;SportDirekt FR #0316;Retail Sport;M;01/12/2023 00:00
C000317;NutriHub DE Online #0317;E-commerce;M;01/11/2023 00:00
C000318;FitNest DE Online #0318;E-commerce;M;01/08/2023 00:00
C000319;GymMart DE Online #0319;E-commerce;S;01/07/2023 00:00
C000320;NutriHub DE Online #0320;E-commerce;S;01/09/2023 00:00
C000321;ZenBasket DE Online #0321;E-commerce;M;01/10/2023 00:00
C000322;ZenBasket DE Online #0322;E-commerce;S;01/11/2023 00:00
C000323;PrimeFuel DE Online #0323;E-commerce;S;01/10/2023 00:00
C000324;VitaCare DE #0324;Pharmacy;L;01/11/2023 00:00
C000325;HealthPoint DE #0325;Pharmacy;S;01/07/2023 00:00
C000326;NutriPharm DE #0326;Pharmacy;S;01/12/2023 00:00
C000327;PharmaPluz DE #0327;Pharmacy;S;01/08/2023 00:00
C000328;VitaCare DE #0328;Pharmacy;L;01/10/2023 00:00
C000329;MediKore DE #0329;Pharmacy;L;01/09/2023 00:00
C000330;NutriPharm DE #0330;Pharmacy;S;01/09/2023 00:00
C000331;Sparr DE #0331;Retail;S;01/08/2023 00:00
C000332;Aldii DE #0332;Retail;M;01/07/2023 00:00
C000333;Rewee DE #0333;Retail;L;01/07/2023 00:00
C000334;Intermarche DE #0334;Retail;M;01/07/2023 00:00
C000335;Sparr DE #0335;Retail;S;01/11/2023 00:00
C000336;Lidll DE #0336;Retail;M;01/11/2023 00:00
C000337;Intermarche DE #0337;Retail;M;01/09/2023 00:00
C000338;Auchon DE #0338;Retail;L;01/07/2023 00:00
C000339;Aldii DE #0339;Retail;S;01/10/2023 00:00
C000340;Aldii DE #0340;Retail;M;01/09/2023 00:00
C000341;Rewee DE #0341;Retail;L;01/12/2023 00:00
C000342;Intermarche DE #0342;Retail;L;01/10/2023 00:00
C000343;Aldii DE #0343;Retail;S;01/10/2023 00:00
C000344;Lidll DE #0344;Retail;L;01/12/2023 00:00
C000345;Aldii DE #0345;Retail;S;01/07/2023 00:00
C000346;Intermarche DE #0346;Retail;M;01/09/2023 00:00
C000347;Edekae DE #0347;Retail;M;01/07/2023 00:00
C000348;Carrefouk DE #0348;Retail;M;01/09/2023 00:00
C000349;Carrefouk DE #0349;Retail;L;01/08/2023 00:00
C000350;Auchon DE #0350;Retail;M;01/12/2023 00:00
C000351;Auchon DE #0351;Retail;M;01/09/2023 00:00
C000352;Lidll DE #0352;Retail;M;01/12/2023 00:00
C000353;Sparr DE #0353;Retail;L;01/11/2023 00:00
C000354;Aldii DE #0354;Retail;L;01/11/2023 00:00
C000355;Decatlon DE #0355;Retail Sport;M;01/10/2023 00:00
C000356;ProSport DE #0356;Retail Sport;L;01/10/2023 00:00
C000357;AthletiX DE #0357;Retail Sport;L;01/08/2023 00:00
C000358;AthletiX DE #0358;Retail Sport;M;01/07/2023 00:00
C000359;Intersportt DE #0359;Retail Sport;L;01/10/2023 00:00
C000360;ProSport DE #0360;Retail Sport;M;01/07/2023 00:00
C000361;Decatlon DE #0361;Retail Sport;L;01/11/2023 00:00
C000362;Decatlon DE #0362;Retail Sport;L;01/12/2023 00:00
C000363;Decathlonn DE #0363;Retail Sport;L;01/09/2023 00:00
C000364;FitZone DE #0364;Retail Sport;L;01/10/2023 00:00
C000365;FitNest GR Online #0365;E-commerce;S;01/08/2023 00:00
C000366;ZenBasket GR Online #0366;E-commerce;L;01/07/2023 00:00
C000367;NutriHub GR Online #0367;E-commerce;S;01/09/2023 00:00
C000368;VitaBox GR Online #0368;E-commerce;L;01/09/2023 00:00
C000369;PrimeFuel GR Online #0369;E-commerce;L;01/11/2023 00:00
C000370;ZenBasket GR Online #0370;E-commerce;S;01/11/2023 00:00
C000371;NutriHub GR Online #0371;E-commerce;M;01/12/2023 00:00
C000372;GymMart GR Online #0372;E-commerce;M;01/12/2023 00:00
C000373;NutriHub GR Online #0373;E-commerce;M;01/11/2023 00:00
C000374;FitNest GR Online #0374;E-commerce;M;01/10/2023 00:00
C000375;PulseMarket GR Online #0375;E-commerce;S;01/10/2023 00:00
C000376;MediKore GR #0376;Pharmacy;S;01/08/2023 00:00
C000377;EuroPharmx GR #0377;Pharmacy;M;01/10/2023 00:00
C000378;CarePharm GR #0378;Pharmacy;S;01/11/2023 00:00
C000379;CarePharm GR #0379;Pharmacy;M;01/07/2023 00:00
C000380;MediKore GR #0380;Pharmacy;M;01/10/2023 00:00
C000381;MediKore GR #0381;Pharmacy;L;01/09/2023 00:00
C000382;CarePharm GR #0382;Pharmacy;L;01/10/2023 00:00
C000383;CarePharm GR #0383;Pharmacy;M;01/09/2023 00:00
C000384;Intermarche GR #0384;Retail;M;01/11/2023 00:00
C000385;Auchon GR #0385;Retail;L;01/10/2023 00:00
C000386;Auchon GR #0386;Retail;M;01/11/2023 00:00
C000387;Auchon GR #0387;Retail;M;01/12/2023 00:00
C000388;Auchon GR #0388;Retail;S;01/07/2023 00:00
C000389;Decatlon GR #0389;Retail Sport;M;01/08/2023 00:00
C000390;ProSport GR #0390;Retail Sport;M;01/07/2023 00:00
C000391;AthletiX GR #0391;Retail Sport;M;01/08/2023 00:00
C000392;FitZone GR #0392;Retail Sport;L;01/12/2023 00:00
C000393;ZenBasket HU Online #0393;E-commerce;M;01/07/2023 00:00
C000394;PrimeFuel HU Online #0394;E-commerce;M;01/12/2023 00:00
C000395;ZenBasket HU Online #0395;E-commerce;S;01/07/2023 00:00
C000396;PrimeFuel HU Online #0396;E-commerce;S;01/07/2023 00:00
C000397;WellKart HU Online #0397;E-commerce;S;01/10/2023 00:00
C000398;NutriPharm HU #0398;Pharmacy;M;01/10/2023 00:00
C000399;HealthPoint HU #0399;Pharmacy;L;01/08/2023 00:00
C000400;PharmaPluz HU #0400;Pharmacy;S;01/11/2023 00:00
C000401;PharmaPluz HU #0401;Pharmacy;M;01/12/2023 00:00
C000402;MediKore HU #0402;Pharmacy;M;01/08/2023 00:00
C000403;EuroPharmx HU #0403;Pharmacy;S;01/08/2023 00:00
C000404;Tesko HU #0404;Retail;M;01/07/2023 00:00
C000405;Sparr HU #0405;Retail;L;01/10/2023 00:00
C000406;Tesko HU #0406;Retail;M;01/08/2023 00:00
C000407;Carrefouk HU #0407;Retail;S;01/09/2023 00:00
C000408;Rewee HU #0408;Retail;L;01/08/2023 00:00
C000409;Tesko HU #0409;Retail;M;01/09/2023 00:00
C000410;Edekae HU #0410;Retail;L;01/08/2023 00:00
C000411;Sparr HU #0411;Retail;L;01/10/2023 00:00
C000412;Auchon HU #0412;Retail;L;01/12/2023 00:00
