From DC;To Country;Channel;Max Pallet Weight kg;Fixed Cost per Pallet EUR;Variable Cost EUR per kg;Last-mile Share %;Linehaul Share %;Formula (Pallets);Formula (Total Transport Cost);Formula (Last-mile Cost);Formula (Linehaul Cost);Linehaul Leg;Last-mile Leg
BE-DC1;BG;Retail;200;76,44;0,0833;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;BG;Retail Sport;200;74,91;0,0825;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;CY;E-commerce;200;160,03;0,1235;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;CY;Pharmacy;200;151,46;0,1211;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;CY;Retail;200;142,88;0,1176;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;CY;Retail Sport;200;140,03;0,1164;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;CZ;E-commerce;200;85,61;0,0875;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;CZ;Pharmacy;200;81,03;0,0858;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;CZ;Retail;200;76,44;0,0833;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;CZ;Retail Sport;200;74,91;0,0825;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;DE;E-commerce;200;57,08;0,072;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;DE;Pharmacy;200;54,02;0,0707;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;DE;Retail;200;50,96;0,0686;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;DE;Retail Sport;200;49,94;0,0679;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;DK;E-commerce;200;100,98;0,0978;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;DK;Pharmacy;200;95,57;0,0959;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;DK;Retail;200;90,16;0,0931;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;DK;Retail Sport;200;88,36;0,0922;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;EE;E-commerce;200;111,96;0,108;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;EE;Pharmacy;200;105,96;0,106;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;EE;Retail;200;99,96;0,1029;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;EE;Retail Sport;200;97,96;0,1019;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;ES;E-commerce;200;118,54;0,1029;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;ES;Pharmacy;200;112,19;0,1009;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;ES;Retail;200;105,84;0,098;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;ES;Retail Sport;200;103,72;0,097;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;FI;E-commerce;200;100,98;0,0978;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;FI;Pharmacy;200;95,57;0,0959;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;FI;Retail;200;90,16;0,0931;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;FI;Retail Sport;200;88,36;0,0922;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;FR;E-commerce;200;57,08;0,072;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;FR;Pharmacy;200;54,02;0,0707;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;FR;Retail;200;50,96;0,0686;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;FR;Retail Sport;200;49,94;0,0679;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;GR;E-commerce;200;118,54;0,1029;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;GR;Pharmacy;200;112,19;0,1009;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;GR;Retail;200;105,84;0,098;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;GR;Retail Sport;200;103,72;0,097;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;HR;E-commerce;200;85,61;0,0875;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;HR;Pharmacy;200;81,03;0,0858;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;HR;Retail;200;76,44;0,0833;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;HR;Retail Sport;200;74,91;0,0825;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;HU;E-commerce;200;85,61;0,0875;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;HU;Pharmacy;200;81,03;0,0858;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;HU;Retail;200;76,44;0,0833;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;HU;Retail Sport;200;74,91;0,0825;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;IE;E-commerce;200;57,08;0,072;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;IE;Pharmacy;200;54,02;0,0707;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;IE;Retail;200;50,96;0,0686;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;IE;Retail Sport;200;49,94;0,0679;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;IT;E-commerce;200;118,54;0,1029;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;IT;Pharmacy;200;112,19;0,1009;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;IT;Retail;200;105,84;0,098;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;IT;Retail Sport;200;103,72;0,097;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LT;E-commerce;200;111,96;0,108;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LT;Pharmacy;200;105,96;0,106;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LT;Retail;200;99,96;0,1029;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LT;Retail Sport;200;97,96;0,1019;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LU;E-commerce;200;57,08;0,072;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LU;Pharmacy;200;54,02;0,0707;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LU;Retail;200;50,96;0,0686;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LU;Retail Sport;200;49,94;0,0679;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LV;E-commerce;200;111,96;0,108;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LV;Pharmacy;200;105,96;0,106;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LV;Retail;200;99,96;0,1029;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;LV;Retail Sport;200;97,96;0,1019;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;MT;E-commerce;200;160,03;0,1235;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;MT;Pharmacy;200;151,46;0,1211;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;MT;Retail;200;142,88;0,1176;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;MT;Retail Sport;200;140,03;0,1164;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;NL;E-commerce;200;57,08;0,072;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
