Ship To ID;Customer ID;Ship To Name;Country
LS0000081;LC000066;Intersportt CY #0066 - Location 1;CY
LS0000082;LC000067;SportDirekt CY #0067 - Location 1;CY
LS0000083;LC000067;SportDirekt CY #0067 - Location 2;CY
LS0000084;LC000068;SportDirekt CY #0068 - Location 1;CY
LS0000085;LC000069;Intersportt CY #0069 - Location 1;CY
LS0000086;LC000070;FitZone CY #0070 - Location 1;CY
LS0000087;LC000071;VitaBox CZ Online #0071 - Location 1;CZ
LS0000088;LC000072;PulseMarket CZ Online #0072 - Location 1;CZ
LS0000089;LC000073;VitaBox CZ Online #0073 - Location 1;CZ
LS0000090;LC000074;VitaBox CZ Online #0074 - Location 1;CZ
LS0000091;LC000075;VitaCare CZ #0075 - Location 1;CZ
LS0000092;LC000076;NutriPharm CZ #0076 - Location 1;CZ
LS0000093;LC000077;Carrefouk CZ #0077 - Location 1;CZ
LS0000094;LC000077;Carrefouk CZ #0077 - Location 2;CZ
LS0000095;LC000078;Tesko CZ #0078 - Location 1;CZ
LS0000096;LC000079;ProSport CZ #0079 - Location 1;CZ
LS0000097;LC000080;ProSport CZ #0080 - Location 1;CZ
LS0000098;LC000081;Intersportt CZ #0081 - Location 1;CZ
LS0000099;LC000082;Decatlon CZ #0082 - Location 1;CZ
LS0000100;LC000082;Decatlon CZ #0082 - Location 2;CZ
LS0000101;LC000083;Intersportt CZ #0083 - Location 1;CZ
LS0000102;LC000084;Decatlon CZ #0084 - Location 1;CZ
LS0000103;LC000085;PrimeFuel DE Online #0085 - Location 1;DE
LS0000104;LC000086;PrimeFuel DE Online #0086 - Location 1;DE
LS0000105;LC000086;PrimeFuel DE Online #0086 - Location 2;DE
LS0000106;LC000087;PrimeFuel DE Online #0087 - Location 1;DE
LS0000107;LC000088;FitNest DE Online #0088 - Location 1;DE
LS0000108;LC000089;PrimeFuel DE Online #0089 - Location 1;DE
LS0000109;LC000089;PrimeFuel DE Online #0089 - Location 2;DE
LS0000110;LC000090;PrimeFuel DE Online #0090 - Location 1;DE
LS0000111;LC000090;PrimeFuel DE Online #0090 - Location 2;DE
LS0000112;LC000091;PulseMarket DE Online #0091 - Location 1;DE
LS0000113;LC000092;PrimeFuel DE Online #0092 - Location 1;DE
LS0000114;LC000092;PrimeFuel DE Online #0092 - Location 2;DE
LS0000115;LC000093;PrimeFuel DE Online #0093 - Location 1;DE
LS0000116;LC000093;PrimeFuel DE Online #0093 - Location 2;DE
LS0000117;LC000094;GymMart DE Online #0094 - Location 1;DE
LS0000118;LC000094;GymMart DE Online #0094 - Location 2;DE
LS0000119;LC000095;EuroPharmx DE #0095 - Location 1;DE
LS0000120;LC000096;EuroPharmx DE #0096 - Location 1;DE
LS0000121;LC000097;VitaCare DE #0097 - Location 1;DE
LS0000122;LC000098;VitaCare DE #0098 - Location 1;DE
LS0000123;LC000098;VitaCare DE #0098 - Location 2;DE
LS0000124;LC000099;VitaCare DE #0099 - Location 1;DE
LS0000125;LC000100;Auchon DE #0100 - Location 1;DE
LS0000126;LC000101;Aldii DE #0101 - Location 1;DE
LS0000127;LC000102;Tesko DE #0102 - Location 1;DE
LS0000128;LC000103;Carrefouk DE #0103 - Location 1;DE
LS0000129;LC000104;Tesko DE #0104 - Location 1;DE
LS0000130;LC000105;Decatlon DE #0105 - Location 1;DE
LS0000131;LC000106;Decathlonn DE #0106 - Location 1;DE
LS0000132;LC000107;Intersportt DE #0107 - Location 1;DE
LS0000133;LC000108;SportDirekt DE #0108 - Location 1;DE
LS0000134;LC000109;Decathlonn DE #0109 - Location 1;DE
LS0000135;LC000109;Decathlonn DE #0109 - Location 2;DE
LS0000136;LC000110;ProSport DE #0110 - Location 1;DE
LS0000137;LC000111;Decatlon DE #0111 - Location 1;DE
LS0000138;LC000112;ProSport DE #0112 - Location 1;DE
LS0000139;LC000113;FitZone DE #0113 - Location 1;DE
LS0000140;LC000113;FitZone DE #0113 - Location 2;DE
LS0000141;LC000114;ProSport DE #0114 - Location 1;DE
LS0000142;LC000115;Decathlonn DE #0115 - Location 1;DE
LS0000143;LC000116;Intersportt DE #0116 - Location 1;DE
LS0000144;LC000117;Decathlonn DE #0117 - Location 1;DE
LS0000145;LC000118;ProSport DE #0118 - Location 1;DE
LS0000146;LC000118;ProSport DE #0118 - Location 2;DE
LS0000147;LC000119;FitZone DE #0119 - Location 1;DE
LS0000148;LC000120;GymMart DK Online #0120 - Location 1;DK
LS0000149;LC000121;PulseMarket DK Online #0121 - Location 1;DK
LS0000150;LC000122;VitaBox DK Online #0122 - Location 1;DK
LS0000151;LC000123;PrimeFuel DK Online #0123 - Location 1;DK
LS0000152;LC000123;PrimeFuel DK Online #0123 - Location 2;DK
LS0000153;LC000124;CarePharm DK #0124 - Location 1;DK
LS0000154;LC000124;CarePharm DK #0124 - Location 2;DK
LS0000155;LC000125;EuroPharmx DK #0125 - Location 1;DK
LS0000156;LC000126;Tesko DK #0126 - Location 1;DK
LS0000157;LC000127;Tesko DK #0127 - Location 1;DK
LS0000158;LC000127;Tesko DK #0127 - Location 2;DK
LS0000159;LC000128;FitZone DK #0128 - Location 1;DK
LS0000160;LC000128;FitZone DK #0128 - Location 2;DK
LS0000161;LC000129;Decatlon DK #0129 - Location 1;DK
LS0000162;LC000130;Intersportt DK #0130 - Location 1;DK
LS0000163;LC000131;Intersportt DK #0131 - Location 1;DK
LS0000164;LC000131;Intersportt DK #0131 - Location 2;DK
LS0000165;LC000132;ProSport DK #0132 - Location 1;DK
LS0000166;LC000133;Intersportt DK #0133 - Location 1;DK
LS0000167;LC000134;GymMart EE Online #0134 - Location 1;EE
LS0000168;LC000135;PulseMarket EE Online #0135 - Location 1;EE
LS0000169;LC000135;PulseMarket EE Online #0135 - Location 2;EE
LS0000170;LC000136;GymMart EE Online #0136 - Location 1;EE
LS0000171;LC000136;GymMart EE Online #0136 - Location 2;EE
LS0000172;LC000137;PulseMarket EE Online #0137 - Location 1;EE
LS0000173;LC000138;VitaCare EE #0138 - Location 1;EE
LS0000174;LC000139;NutriPharm EE #0139 - Location 1;EE
LS0000175;LC000140;Lidll EE #0140 - Location 1;EE
LS0000176;LC000141;Tesko EE #0141 - Location 1;EE
LS0000177;LC000141;Tesko EE #0141 - Location 2;EE
LS0000178;LC000142;Decathlonn EE #0142 - Location 1;EE
LS0000179;LC000143;Intersportt EE #0143 - Location 1;EE
LS0000180;LC000144;Decatlon EE #0144 - Location 1;EE
LS0000181;LC000145;SportDirekt EE #0145 - Location 1;EE
LS0000182;LC000146;ProSport EE #0146 - Location 1;EE
LS0000183;LC000147;Decathlonn EE #0147 - Location 1;EE
LS0000184;LC000148;FitNest ES Online #0148 - Location 1;ES
LS0000185;LC000148;FitNest ES Online #0148 - Location 2;ES
LS0000186;LC000149;VitaBox ES Online #0149 - Location 1;ES
LS0000187;LC000150;GymMart ES Online #0150 - Location 1;ES
LS0000188;LC000151;PulseMarket ES Online #0151 - Location 1;ES
LS0000189;LC000152;FitNest ES Online #0152 - Location 1;ES
LS0000190;LC000153;PrimeFuel ES Online #0153 - Location 1;ES
LS0000191;LC000154;VitaBox ES Online #0154 - Location 1;ES
LS0000192;LC000154;VitaBox ES Online #0154 - Location 2;ES
LS0000193;LC000155;GymMart ES Online #0155 - Location 1;ES
LS0000194;LC000156;FitNest ES Online #0156 - Location 1;ES
LS0000195;LC000156;FitNest ES Online #0156 - Location 2;ES
LS0000196;LC000157;PulseMarket ES Online #0157 - Location 1;ES
LS0000197;LC000158;EuroPharmx ES #0158 - Location 1;ES
LS0000198;LC000159;VitaCare ES #0159 - Location 1;ES
LS0000199;LC000160;CarePharm ES #0160 - Location 1;ES
LS0000200;LC000161;CarePharm ES #0161 - Location 1;ES
LS0000201;LC000162;CarePharm ES #0162 - Location 1;ES
LS0000202;LC000163;Aldii ES #0163 - Location 1;ES
LS0000203;LC000164;Tesko ES #0164 - Location 1;ES
LS0000204;LC000165;Auchon ES #0165 - Location 1;ES
LS0000205;LC000166;Auchon ES #0166 - Location 1;ES
LS0000206;LC000167;Aldii ES #0167 - Location 1;ES
LS0000207;LC000168;Decathlonn ES #0168 - Location 1;ES
LS0000208;LC000168;Decathlonn ES #0168 - Location 2;ES
LS0000209;LC000169;ProSport ES #0169 - Location 1;ES
LS0000210;LC000170;Decatlon ES #0170 - Location 1;ES
LS0000211;LC000170;Decatlon ES #0170 - Location 2;ES
LS0000212;LC000171;Intersportt ES #0171 - Location 1;ES
LS0000213;LC000172;ProSport ES #0172 - Location 1;ES
LS0000214;LC000172;ProSport ES #0172 - Location 2;ES
LS0000215;LC000173;Decathlonn ES #0173 - Location 1;ES
LS0000216;LC000174;ProSport ES #0174 - Location 1;ES
LS0000217;LC000175;Decatlon ES #0175 - Location 1;ES
LS0000218;LC000176;SportDirekt ES #0176 - Location 1;ES
LS0000219;LC000177;FitZone ES #0177 - Location 1;ES
LS0000220;LC000178;SportDirekt ES #0178 - Location 1;ES
LS0000221;LC000179;ProSport ES #0179 - Location 1;ES
LS0000222;LC000180;Decathlonn ES #0180 - Location 1;ES
LS0000223;LC000180;Decathlonn ES #0180 - Location 2;ES
LS0000224;LC000181;FitZone ES #0181 - Location 1;ES
LS0000225;LC000181;FitZone ES #0181 - Location 2;ES
LS0000226;LC000182;Intersportt ES #0182 - Location 1;ES
LS0000227;LC000182;Intersportt ES #0182 - Location 2;ES
LS0000228;LC000183;PulseMarket FI Online #0183 - Location 1;FI
LS0000229;LC000184;VitaBox FI Online #0184 - Location 1;FI
LS0000230;LC000184;VitaBox FI Online #0184 - Location 2;FI
LS0000231;LC000185;FitNest FI Online #0185 - Location 1;FI
LS0000232;LC000186;FitNest FI Online #0186 - Location 1;FI
LS0000233;LC000187;EuroPharmx FI #0187 - Location 1;FI
LS0000234;LC000187;EuroPharmx FI #0187 - Location 2;FI
LS0000235;LC000188;NutriPharm FI #0188 - Location 1;FI
LS0000236;LC000188;NutriPharm FI #0188 - Location 2;FI
LS0000237;LC000189;Lidll FI #0189 - Location 1;FI
LS0000238;LC000190;Carrefouk FI #0190 - Location 1;FI
LS0000239;LC000191;Decathlonn FI #0191 - Location 1;FI
LS0000240;LC000192;Decatlon FI #0192 - Location 1;FI
LS0000241;LC000193;ProSport FI #0193 - Location 1;FI
LS0000242;LC000193;ProSport FI #0193 - Location 2;FI
LS0000243;LC000194;Intersportt FI #0194 - Location 1;FI
LS0000244;LC000194;Intersportt FI #0194 - Location 2;FI
LS0000245;LC000195;Decathlonn FI #0195 - Location 1;FI
LS0000246;LC000195;Decathlonn FI #0195 - Location 2;FI
LS0000247;LC000196;Decatlon FI #0196 - Location 1;FI
LS0000248;LC000196;Decatlon FI #0196 - Location 2;FI
LS0000249;LC000197;GymMart FR Online #0197 - Location 1;FR
LS0000250;LC000198;PulseMarket FR Online #0198 - Location 1;FR
LS0000251;LC000198;PulseMarket FR Online #0198 - Location 2;FR
LS0000252;LC000199;FitNest FR Online #0199 - Location 1;FR
LS0000253;LC000200;PulseMarket FR Online #0200 - Location 1;FR
LS0000254;LC000201;PrimeFuel FR Online #0201 - Location 1;FR
LS0000255;LC000201;PrimeFuel FR Online #0201 - Location 2;FR
LS0000256;LC000202;PulseMarket FR Online #0202 - Location 1;FR
LS0000257;LC000203;VitaBox FR Online #0203 - Location 1;FR
LS0000258;LC000204;VitaBox FR Online #0204 - Location 1;FR
LS0000259;LC000204;VitaBox FR Online #0204 - Location 2;FR
LS0000260;LC000205;FitNest FR Online #0205 - Location 1;FR
LS0000261;LC000205;FitNest FR Online #0205 - Location 2;FR
LS0000262;LC000206;PrimeFuel FR Online #0206 - Location 1;FR
LS0000263;LC000206;PrimeFuel FR Online #0206 - Location 2;FR
LS0000264;LC000207;EuroPharmx FR #0207 - Location 1;FR
LS0000265;LC000208;EuroPharmx FR #0208 - Location 1;FR
LS0000266;LC000209;EuroPharmx FR #0209 - Location 1;FR
LS0000267;LC000210;CarePharm FR #0210 - Location 1;FR
LS0000268;LC000211;EuroPharmx FR #0211 - Location 1;FR
LS0000269;LC000211;EuroPharmx FR #0211 - Location 2;FR
LS0000270;LC000212;Rewee FR #0212 - Location 1;FR
LS0000271;LC000213;Rewee FR #0213 - Location 1;FR
LS0000272;LC000214;Auchon FR #0214 - Location 1;FR
LS0000273;LC000215;Carrefouk FR #0215 - Location 1;FR
LS0000274;LC000216;Auchon FR #0216 - Location 1;FR
LS0000275;LC000217;ProSport FR #0217 - Location 1;FR
LS0000276;LC000217;ProSport FR #0217 - Location 2;FR
LS0000277;LC000218;FitZone FR #0218 - Location 1;FR
LS0000278;LC000219;ProSport FR #0219 - Location 1;FR
LS0000279;LC000219;ProSport FR #0219 - Location 2;FR
LS0000280;LC000220;Decatlon FR #0220 - Location 1;FR
LS0000281;LC000221;Decatlon FR #0221 - Location 1;FR
LS0000282;LC000222;Intersportt FR #0222 - Location 1;FR
LS0000283;LC000223;Intersportt FR #0223 - Location 1;FR
LS0000284;LC000223;Intersportt FR #0223 - Location 2;FR
LS0000285;LC000224;Decatlon FR #0224 - Location 1;FR
LS0000286;LC000225;Intersportt FR #0225 - Location 1;FR
LS0000287;LC000226;FitZone FR #0226 - Location 1;FR
LS0000288;LC000227;Decathlonn FR #0227 - Location 1;FR
LS0000289;LC000228;ProSport FR #0228 - Location 1;FR
LS0000290;LC000229;Decathlonn FR #0229 - Location 1;FR
LS0000291;LC000230;SportDirekt FR #0230 - Location 1;FR
LS0000292;LC000230;SportDirekt FR #0230 - Location 2;FR
LS0000293;LC000231;ProSport FR #0231 - Location 1;FR
LS0000294;LC000232;PrimeFuel GR Online #0232 - Location 1;GR
LS0000295;LC000233;PulseMarket GR Online #0233 - Location 1;GR
LS0000296;LC000234;GymMart GR Online #0234 - Location 1;GR
LS0000297;LC000235;FitNest GR Online #0235 - Location 1;GR
LS0000298;LC000236;CarePharm GR #0236 - Location 1;GR
LS0000299;LC000237;EuroPharmx GR #0237 - Location 1;GR
LS0000300;LC000238;Aldii GR #0238 - Location 1;GR
LS0000301;LC000239;Rewee GR #0239 - Location 1;GR
LS0000302;LC000240;SportDirekt GR #0240 - Location 1;GR
LS0000303;LC000240;SportDirekt GR #0240 - Location 2;GR
LS0000304;LC000241;FitZone GR #0241 - Location 1;GR
LS0000305;LC000242;FitZone GR #0242 - Location 1;GR
LS0000306;LC000243;Intersportt GR #0243 - Location 1;GR
LS0000307;LC000243;Intersportt GR #0243 - Location 2;GR
LS0000308;LC000244;FitZone GR #0244 - Location 1;GR
LS0000309;LC000244;FitZone GR #0244 - Location 2;GR
LS0000310;LC000245;Decatlon GR #0245 - Location 1;GR
LS0000311;LC000246;PrimeFuel HR Online #0246 - Location 1;HR
LS0000312;LC000246;PrimeFuel HR Online #0246 - Location 2;HR
LS0000313;LC000247;PrimeFuel HR Online #0247 - Location 1;HR
LS0000314;LC000247;PrimeFuel HR Online #0247 - Location 2;HR
LS0000315;LC000248;GymMart HR Online #0248 - Location 1;HR
LS0000316;LC000248;GymMart HR Online #0248 - Location 2;HR
LS0000317;LC000249;PrimeFuel HR Online #0249 - Location 1;HR
LS0000318;LC000250;VitaCare HR #0250 - Location 1;HR
LS0000319;LC000251;VitaCare HR #0251 - Location 1;HR
LS0000320;LC000252;Aldii HR #0252 - Location 1;HR
LS0000321;LC000252;Aldii HR #0252 - Location 2;HR
LS0000322;LC000253;Rewee HR #0253 - Location 1;HR
LS0000323;LC000254;FitZone HR #0254 - Location 1;HR
LS0000324;LC000255;FitZone HR #0255 - Location 1;HR
LS0000325;LC000255;FitZone HR #0255 - Location 2;HR
LS0000326;LC000256;FitZone HR #0256 - Location 1;HR
LS0000327;LC000257;Decathlonn HR #0257 - Location 1;HR
LS0000328;LC000258;Decatlon HR #0258 - Location 1;HR
LS0000329;LC000259;FitZone HR #0259 - Location 1;HR
LS0000330;LC000260;PulseMarket HU Online #0260 - Location 1;HU
LS0000331;LC000261;FitNest HU Online #0261 - Location 1;HU
LS0000332;LC000261;FitNest HU Online #0261 - Location 2;HU
LS0000333;LC000262;PulseMarket HU Online #0262 - Location 1;HU
LS0000334;LC000262;PulseMarket HU Online #0262 - Location 2;HU
LS0000335;LC000263;GymMart HU Online #0263 - Location 1;HU
LS0000336;LC000263;GymMart HU Online #0263 - Location 2;HU
LS0000337;LC000264;VitaCare HU #0264 - Location 1;HU
LS0000338;LC000265;CarePharm HU #0265 - Location 1;HU
LS0000339;LC000266;Carrefouk HU #0266 - Location 1;HU
LS0000340;LC000267;Carrefouk HU #0267 - Location 1;HU
LS0000341;LC000267;Carrefouk HU #0267 - Location 2;HU
LS0000342;LC000268;ProSport HU #0268 - Location 1;HU
LS0000343;LC000269;Decatlon HU #0269 - Location 1;HU
LS0000344;LC000270;ProSport HU #0270 - Location 1;HU
LS0000345;LC000271;Intersportt HU #0271 - Location 1;HU
LS0000346;LC000271;Intersportt HU #0271 - Location 2;HU
LS0000347;LC000272;FitZone HU #0272 - Location 1;HU
LS0000348;LC000273;FitZone HU #0273 - Location 1;HU
LS0000349;LC000274;GymMart IE Online #0274 - Location 1;IE
LS0000350;LC000275;VitaBox IE Online #0275 - Location 1;IE
LS0000351;LC000276;VitaBox IE Online #0276 - Location 1;IE
LS0000352;LC000277;PrimeFuel IE Online #0277 - Location 1;IE
LS0000353;LC000277;PrimeFuel IE Online #0277 - Location 2;IE
LS0000354;LC000278;CarePharm IE #0278 - Location 1;IE
LS0000355;LC000278;CarePharm IE #0278 - Location 2;IE
LS0000356;LC000279;CarePharm IE #0279 - Location 1;IE
LS0000357;LC000280;Carrefouk IE #0280 - Location 1;IE
LS0000358;LC000281;Tesko IE #0281 - Location 1;IE
LS0000359;LC000282;Decatlon IE #0282 - Location 1;IE
LS0000360;LC000282;Decatlon IE #0282 - Location 2;IE
LS0000361;LC000283;Decatlon IE #0283 - Location 1;IE
LS0000362;LC000283;Decatlon IE #0283 - Location 2;IE
LS0000363;LC000284;ProSport IE #0284 - Location 1;IE
LS0000364;LC000285;Intersportt IE #0285 - Location 1;IE
LS0000365;LC000286;Decatlon IE #0286 - Location 1;IE
LS0000366;LC000286;Decatlon IE #0286 - Location 2;IE
LS0000367;LC000287;Decathlonn IE #0287 - Location 1;IE
LS0000368;LC000288;PulseMarket IT Online #0288 - Location 1;IT
LS0000369;LC000289;PrimeFuel IT Online #0289 - Location 1;IT
LS0000370;LC000290;VitaBox IT Online #0290 - Location 1;IT
LS0000371;LC000291;VitaBox IT Online #0291 - Location 1;IT
LS0000372;LC000292;VitaBox IT Online #0292 - Location 1;IT
LS0000373;LC000293;FitNest IT Online #0293 - Location 1;IT
LS0000374;LC000293;FitNest IT Online #0293 - Location 2;IT
LS0000375;LC000294;VitaBox IT Online #0294 - Location 1;IT
LS0000376;LC000295;VitaBox IT Online #0295 - Location 1;IT
LS0000377;LC000296;PulseMarket IT Online #0296 - Location 1;IT
LS0000378;LC000297;VitaBox IT Online #0297 - Location 1;IT
LS0000379;LC000298;EuroPharmx IT #0298 - Location 1;IT
LS0000380;LC000299;NutriPharm IT #0299 - Location 1;IT
LS0000381;LC000299;NutriPharm IT #0299 - Location 2;IT
LS0000382;LC000300;NutriPharm IT #0300 - Location 1;IT
LS0000383;LC000301;CarePharm IT #0301 - Location 1;IT
LS0000384;LC000302;EuroPharmx IT #0302 - Location 1;IT
LS0000385;LC000303;Lidll IT #0303 - Location 1;IT
LS0000386;LC000303;Lidll IT #0303 - Location 2;IT
LS0000387;LC000304;Aldii IT #0304 - Location 1;IT
LS0000388;LC000305;Rewee IT #0305 - Location 1;IT
LS0000389;LC000306;Auchon IT #0306 - Location 1;IT
LS0000390;LC000307;Tesko IT #0307 - Location 1;IT
LS0000391;LC000308;Intersportt IT #0308 - Location 1;IT
LS0000392;LC000309;ProSport IT #0309 - Location 1;IT
LS0000393;LC000309;ProSport IT #0309 - Location 2;IT
LS0000394;LC000310;ProSport IT #0310 - Location 1;IT
LS0000395;LC000311;FitZone IT #0311 - Location 1;IT
LS0000396;LC000312;ProSport IT #0312 - Location 1;IT
LS0000397;LC000313;ProSport IT #0313 - Location 1;IT
LS0000398;LC000313;ProSport IT #0313 - Location 2;IT
LS0000399;LC000314;FitZone IT #0314 - Location 1;IT
LS0000400;LC000314;FitZone IT #0314 - Location 2;IT
LS0000401;LC000315;ProSport IT #0315 - Location 1;IT
LS0000402;LC000316;ProSport IT #0316 - Location 1;IT
LS0000403;LC000317;SportDirekt IT #0317 - Location 1;IT
LS0000404;LC000318;Decathlonn IT #0318 - Location 1;IT
LS0000405;LC000319;Intersportt IT #0319 - Location 1;IT
LS0000406;LC000320;Intersportt IT #0320 - Location 1;IT
LS0000407;LC000321;Intersportt IT #0321 - Location 1;IT
LS0000408;LC000322;SportDirekt IT #0322 - Location 1;IT
LS0000409;LC000322;SportDirekt IT #0322 - Location 2;IT
LS0000410;LC000323;PrimeFuel LT Online #0323 - Location 1;LT
LS0000411;LC000324;VitaBox LT Online #0324 - Location 1;LT
LS0000412;LC000325;PrimeFuel LT Online #0325 - Location 1;LT
LS0000413;LC000325;PrimeFuel LT Online #0325 - Location 2;LT
LS0000414;LC000326;GymMart LT Online #0326 - Location 1;LT
LS0000415;LC000327;EuroPharmx LT #0327 - Location 1;LT
LS0000416;LC000328;VitaCare LT #0328 - Location 1;LT
LS0000417;LC000329;Tesko LT #0329 - Location 1;LT
LS0000418;LC000329;Tesko LT #0329 - Location 2;LT
LS0000419;LC000330;Aldii LT #0330 - Location 1;LT
LS0000420;LC000331;Intersportt LT #0331 - Location 1;LT
LS0000421;LC000332;ProSport LT #0332 - Location 1;LT
LS0000422;LC000333;Decathlonn LT #0333 - Location 1;LT
LS0000423;LC000334;Decatlon LT #0334 - Location 1;LT
LS0000424;LC000335;FitZone LT #0335 - Location 1;LT
LS0000425;LC000336;Decathlonn LT #0336 - Location 1;LT
LS0000426;LC000337;GymMart LU Online #0337 - Location 1;LU
LS0000427;LC000337;GymMart LU Online #0337 - Location 2;LU
LS0000428;LC000338;PrimeFuel LU Online #0338 - Location 1;LU
LS0000429;LC000338;PrimeFuel LU Online #0338 - Location 2;LU
LS0000430;LC000339;PulseMarket LU Online #0339 - Location 1;LU
LS0000431;LC000340;PrimeFuel LU Online #0340 - Location 1;LU
LS0000432;LC000341;CarePharm LU #0341 - Location 1;LU
LS0000433;LC000342;CarePharm LU #0342 - Location 1;LU
LS0000434;LC000343;Carrefouk LU #0343 - Location 1;LU
LS0000435;LC000344;Tesko LU #0344 - Location 1;LU
LS0000436;LC000345;ProSport LU #0345 - Location 1;LU
LS0000437;LC000346;Intersportt LU #0346 - Location 1;LU
LS0000438;LC000347;Decathlonn LU #0347 - Location 1;LU
